query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_005001,Images/005001.png,Is there any evidence of malaria infection present in this image?,Yes,No.,,,No.,NLM- Malaria Data,NLM- Malaria Data_0060,Microscopy
OMNI_005002,Images/005002.bmp,What is the most probable condition indicated by the image?,Hodgkin's lymphoma,Acute myeloid leukemia,Polycythemia vera,Acute lymphoblastic leukemia,Acute lymphoblastic leukemia,ALL Challenge,ALL Challenge_0183,Microscopy
OMNI_005004,Images/005004.tif,What is the cell type shown in the image?,Keratinocyte,Fibroblast,Lymphocyte,Osteocyte,Lymphocyte,CRC100k,CRC100k_0595,Microscopy
OMNI_005009,Images/005009.jpeg,What are the cell types visible in this image?,T-cells,B-cells,Neutrophils,monocytes,monocytes,Blood Cell,Blood Cell_0882,Microscopy
OMNI_005010,Images/005010.jpeg,What type of cells are present in this image?,monocytes,Neutrophils,Mast cells,Basophils,monocytes,Blood Cell,Blood Cell_0832,Microscopy
OMNI_005011,Images/005011.jpg,Is there any abnormality observed in the vacuole depicted in the given sperm image?,"No, the vacuole is irregularly shaped.","Yes, the vacuole is enlarged.","No, the vacuole appears to be normal.","No, the vacuole is absent.","No, the vacuole appears to be normal.",MHSMA,MHSMA_1118,Microscopy
OMNI_005012,Images/005012.png,What is the appearance of the head in the displayed sperm image?,The head appears normal.,The head appears multiplied.,The head appears shrunken.,The head appears malformed.,The head appears normal.,MHSMA,MHSMA_0399,Microscopy
OMNI_005014,Images/005014.png,Does this image show any signs of malaria infection?,No.,Yes,,,No.,NLM- Malaria Data,NLM- Malaria Data_0059,Microscopy
OMNI_005015,Images/005015.tif,Which specific type of cells is being shown in this image?,Lymphocyte,Neutrophil,Erythrocyte,Keratinocyte,Lymphocyte,CRC100k,CRC100k_0618,Microscopy
OMNI_005018,Images/005018.tif,What is the morphology of the cells depicted in the photograph?,Triangular cells,Hexagonal cells,Cobblestone cells,Crescent-shaped cells,Cobblestone cells,BioMediTech,BioMediTech_0389,Microscopy
OMNI_005020,Images/005020.png,Is there any sign of abnormalities in the tail shown in the provided sperm image?,"No, the tail appears to be normal.","Yes, the tail appears to be abnormal.",,,"No, the tail appears to be normal.",MHSMA,MHSMA_0808,Microscopy
OMNI_005021,Images/005021.png,What type of imaging method was utilized to obtain this image?,Ultrasound imaging,Endoscopy,microscopy.,Positron emission tomography (PET),microscopy.,MHSMA,MHSMA_0714,Microscopy
