query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_006001,Images/006001.jpg,What imaging technology is utilized to obtain this picture?,Thermography,Magnetic Resonance Imaging (MRI),Optical Coherence Tomography (OCT),Endoscopy,Optical Coherence Tomography (OCT),Retinal OCT-C8,Retinal OCT-C8_0168,OCT
OMNI_006003,Images/006003.jpeg,Is there any abnormality present in this oct image?,Yes,No.,,,No.,OCT & X-Ray 2017,OCT & X-Ray 2017_0622,OCT
OMNI_006004,Images/006004.jpg,What is the distinguishing characteristic of the abnormality observed in this image?,"There is a small hole in the macula, which is the central part of the retina.",There is a dark spot in the periphery of the retina.,The macula appears enlarged and swollen.,The abnormality is characterized by a jagged edge around the macula.,"There is a small hole in the macula, which is the central part of the retina.",Retinal OCT-C8,Retinal OCT-C8_1812,OCT
OMNI_006005,Images/006005.jpg,What is the name of the particular abnormality depicted in this visual representation?,Macular degeneration,Cataracts,Diabetic Retinopathy (DR),Color blindness,Diabetic Retinopathy (DR),Retinal OCT-C8,Retinal OCT-C8_2091,OCT
OMNI_006006,Images/006006.jpg,What imaging technique is utilized to acquire this visual representation?,Endoscopy,Optical Coherence Tomography (OCT),Magnetic Resonance Imaging (MRI),Computed Tomography (CT),Optical Coherence Tomography (OCT),Retinal OCT-C8,Retinal OCT-C8_0176,OCT
OMNI_006009,Images/006009.jpg,What are the distinguishable characteristics of the abnormality captured in this image?,The abnormality seen is a result of nerve damage in the spinal cord.,Macular Hole (MH),The image indicates a blockage in the urinary tract caused by kidney stones.,The image displays a skin rash caused by an allergic reaction.,Macular Hole (MH),Retinal OCT-C8,Retinal OCT-C8_1164,OCT
OMNI_006011,Images/006011.jpg,What is the diagnosis indicated by the anomaly observed in this image?,Diabetic Retinopathy,Glaucoma,Corneal abrasion,Central Serous Retinopathy (CSR),Central Serous Retinopathy (CSR),Retinal OCT-C8,Retinal OCT-C8_3616,OCT
OMNI_006013,Images/006013.jpg,What characteristics can be observed in the abnormality present in this image?,Exudates are small blue dots that gather around the optic nerve.,The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,Macular holes are small purple rings that encircle the cornea.,Hemorrhages are black spots that develop on the lens of the eye.,The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,Retinal OCT-C8,Retinal OCT-C8_2906,OCT
OMNI_006014,Images/006014.jpg,What is the name of the imaging modality that is employed to acquire this image?,Fluoroscopy,Mammography,Optical Coherence Tomography (OCT),Magnetic Resonance Imaging (MRI),Optical Coherence Tomography (OCT),Retinal OCT-C8,Retinal OCT-C8_0096,OCT
OMNI_006015,Images/006015.jpeg,Is there any abnormality present in this oct image?,Yes,No.,,,No.,OCT & X-Ray 2017,OCT & X-Ray 2017_0619,OCT
OMNI_006016,Images/006016.jpg,Can you describe any notable attributes of the abnormality in this image?,The image shows a normal blood vessel pattern within the retina.,The choroidal neovascularization appears as abnormal blood vessels growing beneath the retina.,The abnormality in the image is due to optic nerve atrophy.,The abnormality in the image is a result of retinal detachment.,The choroidal neovascularization appears as abnormal blood vessels growing beneath the retina.,Retinal OCT-C8,Retinal OCT-C8_0718,OCT
OMNI_006017,Images/006017.jpg,What is the specific abnormality shown in this image?,Corneal ulcer,Astigmatism,Color blindness,Diabetic Retinopathy (DR),Diabetic Retinopathy (DR),Retinal OCT-C8,Retinal OCT-C8_1010,OCT
OMNI_006018,Images/006018.jpeg,Which imaging technique was utilized to obtain this image?,Fluoroscopy,Ultrasound,Optical Coherence Tomography (OCT),X-ray,Optical Coherence Tomography (OCT),OCT & X-Ray 2017,OCT & X-Ray 2017_0051,OCT
OMNI_006019,Images/006019.jpeg,What is the depicted anomaly in this visual representation?,Uveitis,Macular degeneration,Cataracts,Choroidal Neovascularization (CNV),Choroidal Neovascularization (CNV),OCT & X-Ray 2017,OCT & X-Ray 2017_0191,OCT
OMNI_006020,Images/006020.jpg,What are some characteristics of the anomaly depicted in this image?,"Cataracts: Cataracts occur when the lens of the eye becomes cloudy, leading to blurry vision. While it can cause vision loss, it is not specific to the macula and is unrelated to age-related macular degeneration.","Retinal detachment: Retinal detachment occurs when the retina peels away from its underlying layer of support tissues. It can cause vision loss, but it is not related to age-related macular degeneration.",Drusen are small yellow deposits that accumulate beneath the retina.,"Diabetic retinopathy: Diabetic retinopathy is a complication of diabetes that affects the blood vessels in the retina. It can cause vision loss, but it is not specific to the macula and is different from age-related macular degeneration.",Drusen are small yellow deposits that accumulate beneath the retina.,Retinal OCT-C8,Retinal OCT-C8_3334,OCT
OMNI_006022,Images/006022.jpg,"In relation to the image, what distinct characteristics can be observed for the abnormality present?","The image reveals a corneal ulcer, indicated by the open sore on the cornea.","The abnormality in the image is a retinal detachment, indicated by the separation of the retina from the underlying tissue.",The image shows an enlarged optic nerve caused by glaucoma.,The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,Retinal OCT-C8,Retinal OCT-C8_3965,OCT
OMNI_006023,Images/006023.jpg,What is the specific abnormality shown in this image?,Choroidal Neovascularization (CNV),Cataracts,Uveitis,Retinal detachment,Choroidal Neovascularization (CNV),Retinal OCT-C8,Retinal OCT-C8_0512,OCT
OMNI_006025,Images/006025.jpg,What characteristics can you identify in the abnormality shown in this image?,"The abnormality in the image is a subconjunctival hemorrhage, characterized by the presence of blood under the conjunctiva.","The abnormality in the image is a retinal detachment, indicated by the separation of the retina from the underlying tissue.",The condition is characterized by the accumulation of fluid in the central retina.,The image shows an enlarged optic nerve caused by glaucoma.,The condition is characterized by the accumulation of fluid in the central retina.,Retinal OCT-C8,Retinal OCT-C8_3869,OCT
OMNI_006027,Images/006027.jpg,What is the name of the abnormality indicated in this image?,Drusen,Astigmatism,Macular edema,Retinal detachment,Drusen,Retinal OCT-C8,Retinal OCT-C8_3137,OCT
OMNI_006028,Images/006028.jpeg,What is the specific abnormality shown in this oct image?,Macular degeneration,Nystagmus,Presbyopia,Drusen,Drusen,OCT & X-Ray 2017,OCT & X-Ray 2017_0460,OCT
