query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_001001,Images/001001.png,What can be observed in this image?,Osseous neoplasm,Renal cyst,Cerebral hemorrhage,Meningitis,Osseous neoplasm,RadImageNet,RadImageNet_49622,MRI
OMNI_001002,Images/001002.png,What can be observed in this image?,Plantar plate tear.,Tarsal tunnel syndrome.,Metatarsal stress fracture.,Bunion formation.,Plantar plate tear.,RadImageNet,RadImageNet_28427,MRI
OMNI_001003,Images/001003.png,What imaging modality was used to capture this image?,Electroencephalogram (EEG),Endoscopy,MRI,X-ray,MRI,RadImageNet,RadImageNet_26714,MRI
OMNI_001005,Images/001005.png,What can be observed in this image?,Bone density loss,Ligament tear,Chondral abnormality,Joint inflammation,Chondral abnormality,RadImageNet,RadImageNet_34586,MRI
OMNI_001006,Images/001006.png,What can be observed in this image?,Muscular dystrophy,Tissue inflammation,Disc pathology,Nerve compression,Disc pathology,RadImageNet,RadImageNet_37054,MRI
OMNI_001007,Images/001007.png,What is the visible content in this image?,Bone fracture,Cyst formation,Tendon tear,Soft tissue fluid,Soft tissue fluid,RadImageNet,RadImageNet_53027,MRI
OMNI_001009,Images/001009.png,What can be observed in this image?,Muscle atrophy,Organ enlargement,Inflammation and swelling,White matter changes,White matter changes,RadImageNet,RadImageNet_56627,MRI
OMNI_001011,Images/001011.png,What type of imaging technique was applied to obtain this image?,MRI,X-ray,Echocardiogram,Bone scan,MRI,RadImageNet,RadImageNet_26869,MRI
OMNI_001012,Images/001012.png,What can be observed in this image?,Meniscal tear,Fracture,Synovial cyst formation,Chondral abnormality,Chondral abnormality,RadImageNet,RadImageNet_33236,MRI
OMNI_001013,Images/001013.png,What can be observed in this image?,Peroneal pathology,Plantar fasciitis,Lumbar disc herniation,Meniscal tear,Peroneal pathology,RadImageNet,RadImageNet_50233,MRI
