query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_000001,Images/000001.png,Is there any discernible anomaly seen in this image?,Yes.,No,,,No,RadImageNet,RadImageNet_9869,CT
OMNI_000004,Images/000004.png,Is there any abnormal finding apparent in this image?,No,Yes.,,,No,RadImageNet,RadImageNet_10397,CT
OMNI_000005,Images/000005.png,Is there any abnormal finding observed in this image?,Yes.,No,,,No,RadImageNet,RadImageNet_9382,CT
OMNI_000007,Images/000007.png,What abnormal finding is depicted in this radiograph?,Heart abnormality,Kidney abnormality,Intestinal abnormality,Bowel abnormality,Bowel abnormality,RadImageNet,RadImageNet_5838,CT
OMNI_000008,Images/000008.png,Is there any visible anomaly observed in this image?,No,Yes.,,,No,RadImageNet,RadImageNet_10542,CT
OMNI_000009,Images/000009.png,What is the term for the anomaly seen in the picture?,Nodule,Mass,Lesion,Hematoma,Nodule,RadImageNet,RadImageNet_3935,CT
OMNI_000010,Images/000010.png,What abnormal finding is depicted in the radiographic image?,Nodule formation,Pleural effusion,Lung consolidation,Airspace opacity,Airspace opacity,RadImageNet,RadImageNet_2343,CT
OMNI_000011,Images/000011.png,What abnormal finding is depicted in the radiographic image?,Dermatological pathology,Venous pathology,Osseous pathology,Arterial pathology,Arterial pathology,RadImageNet,RadImageNet_5165,CT
OMNI_000012,Images/000012.png,What specific abnormality is present in this image?,SARS (Severe Acute Respiratory Syndrome),Pulmonary embolism,Lung cancer,COVID-19 infection.,COVID-19 infection.,Covid CT,Covid CT_0124,CT
OMNI_000013,Images/000013.png,"In capturing this image, what modality is employed?",X-ray,PET scan,CT,MRI,CT,RadImageNet,RadImageNet_0389,CT
OMNI_000014,Images/000014.png,Can any irregularities be detected in this picture?,No,Yes.,,,No,RadImageNet,RadImageNet_9904,CT
OMNI_000018,Images/000018.png,Does this CT scan image suggest COVID-19?,No,Yes,,,No,SARS-CoV-2 CT-scan,SARS-CoV-2 CT-scan_0714,CT
OMNI_000019,Images/000019.png,What can be observed in the image that is considered an abnormality?,Abscess,Polyp,Nodule,Growth,Nodule,RadImageNet,RadImageNet_4539,CT
OMNI_000023,Images/000023.png,What kind of anomaly is depicted in this image?,Osseous neoplasm,Muscular dystrophy,Gastrointestinal bleeding,Endocrine dysfunction,Osseous neoplasm,RadImageNet,RadImageNet_11807,CT
OMNI_000025,Images/000025.png,What imaging technique is employed in capturing this picture?,Nuclear medicine scan,Mammogram,Positron emission tomography (PET),CT,CT,RadImageNet,RadImageNet_1736,CT
OMNI_000026,Images/000026.png,What is the presence in the image that deviates from normal?,Swelling,Nodule,Hematoma,Mass,Nodule,RadImageNet,RadImageNet_4129,CT
