query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_004001,Images/004001.jpg,"What disease is represented by the specific abnormality in this image, and can you describe the key features of this disorder?",Rubella,Pertussis,Monkeypox,Lyme disease,Monkeypox,Monkeypox Skin Image 2022,Monkeypox Skin Image 2022_0084,Dermatology
OMNI_004002,Images/004002.png,What is the specific diagnosis indicated by the abnormality depicted in this image?,Melanoma.,Eczema.,Basal Cell Carcinoma.,Psoriasis.,Basal Cell Carcinoma.,PAD-UFES-20,PAD-UFES-20_0195,Dermatology
OMNI_004003,Images/004003.jpg,What is the specific skin condition depicted in the image?,Melanoma,Acne,Basal cell carcinoma,Squamous cell carcinoma,Squamous cell carcinoma,ISIC2019,ISIC2019_1824,Dermatology
OMNI_004006,Images/004006.jpg,Is the abnormality in this image of a non-cancerous or cancerous nature?,Benign image.,Malignant,,,Benign image.,ISIC2020,ISIC2020_1274,Dermatology
OMNI_004009,Images/004009.jpg,What is the skin condition depicted in this image?,Squamous cell carcinoma,Seborrheic keratosis,Vitiligo,Basal cell carcinoma,Basal cell carcinoma,ISIC2019,ISIC2019_1087,Dermatology
OMNI_004011,Images/004011.jpg,Is the image showing benign or malignant abnormality?,Malignant,Benign image.,,,Benign image.,ISIC2020,ISIC2020_0488,Dermatology
OMNI_004014,Images/004014.jpg,What is the term for the imaging method used to capture this image?,Endoscopy imaging,Dermoscopic imaging,Magnetic resonance imaging (MRI),Ultrasound imaging,Dermoscopic imaging,ISIC2019,ISIC2019_0112,Dermatology
OMNI_004015,Images/004015.jpg,What modality was used to capture this image?,Dermoscopy,Mammography,Magnetic resonance imaging,X-ray,Dermoscopy,ISIC2020,ISIC2020_0116,Dermatology
OMNI_004016,Images/004016.jpg,What is the designated classification for the anomaly depicted in this image?,Malignant cutaneous lymphoma.,Benign cutaneous lymphoma.,Metastatic cutaneous lymphoma.,Psoriasis.,Malignant cutaneous lymphoma.,Fitzpatrick 17k,Fitzpatrick 17k_1544,Dermatology
OMNI_004017,Images/004017.jpg,In what category does this image's abnormality fall under?,Osteodermatitis,Gastrodermatitis,Neurodermatosis,Genodermatoses.,Genodermatoses.,Fitzpatrick 17k,Fitzpatrick 17k_1105,Dermatology
OMNI_004018,Images/004018.jpg,Is the dermoscopic image suggestive of a malignancy or benignity?,Metastatic condition.,Benign condition.,Pre-cancerous condition.,Non-cancerous condition.,Benign condition.,ISBI2016,ISBI2016_0445,Dermatology
OMNI_004019,Images/004019.jpg,What is the disease captured in this image?,Tuberculosis,Smallpox,Meningitis,Polio,Smallpox,Monkeypox Skin Image 2022,Monkeypox Skin Image 2022_0108,Dermatology
OMNI_004020,Images/004020.jpg,Which technique was employed to capture this image?,Computed tomography,Endoscopy,Electroencephalogram,Dermoscopy,Dermoscopy,ISIC2020,ISIC2020_0059,Dermatology
OMNI_004021,Images/004021.jpg,What is the specific skin condition featured in this picture?,Vitiligo,Melanoma,Benign keratosis,Rosacea,Benign keratosis,ISIC2019,ISIC2019_1689,Dermatology
OMNI_004022,Images/004022.jpg,What is the specific skin condition depicted in the provided image?,Vascular lesion,Pigmentation disorder,Allergic reaction,Malignant growth,Vascular lesion,ISIC2019,ISIC2019_1786,Dermatology
OMNI_004024,Images/004024.jpg,What is the skin abnormality observed in the provided image?,Dermatitis,Melanocytic nevus,Squamous cell carcinoma,Eczema,Melanocytic nevus,ISIC2019,ISIC2019_0947,Dermatology
OMNI_004025,Images/004025.jpg,What is the classification of the anomaly depicted in this image?,Melanoma.,Malignant cutaneous lymphoma.,Benign cutaneous lymphoma.,Eczema.,Malignant cutaneous lymphoma.,Fitzpatrick 17k,Fitzpatrick 17k_1519,Dermatology
OMNI_004026,Images/004026.jpg,Is the abnormality observed in the image considered benign or malignant?,Benign image.,Malignant,,,Benign image.,ISIC2020,ISIC2020_1064,Dermatology
OMNI_004027,Images/004027.jpg,Which category does this image's abnormality fall under?,Inflammatory.,Degenerative,Infectious,Traumatic,Inflammatory.,Fitzpatrick 17k,Fitzpatrick 17k_0573,Dermatology
OMNI_004030,Images/004030.jpg,What is the specific skin condition captured in this image?,Basal cell carcinoma,Hives,Melanocytic nevus,Squamous cell carcinoma,Melanocytic nevus,ISIC2019,ISIC2019_0928,Dermatology
OMNI_004031,Images/004031.jpg,What method was utilized for capturing this image?,Mammography,Dermoscopy,Electrocardiogram,Computed tomography,Dermoscopy,ISIC2020,ISIC2020_0170,Dermatology
OMNI_004032,Images/004032.jpg,What does this image show in terms of abnormality classification?,Metastatic dermal.,Benign epidermal.,Non-cancerous subcutaneous.,Cancerous superficial.,Benign epidermal.,Fitzpatrick 17k,Fitzpatrick 17k_1420,Dermatology
OMNI_004036,Images/004036.jpg,What is the name of the skin abnormality observed in this image?,Acne,Rosacea,Eczema,Basal cell carcinoma,Basal cell carcinoma,ISIC2019,ISIC2019_1035,Dermatology
OMNI_004038,Images/004038.jpg,What is the skin condition exhibited in this image?,Hives,Vitiligo,Rosacea,Melanoma,Melanoma,ISIC2019,ISIC2019_0365,Dermatology
OMNI_004039,Images/004039.jpg,What is the classification of the anomaly in this image?,Inflammatory.,Congenital,Endocrine,Neoplastic,Inflammatory.,Fitzpatrick 17k,Fitzpatrick 17k_0398,Dermatology
OMNI_004040,Images/004040.jpg,What classification does the anomaly in this image belong to?,Cancerous superficial.,Metastatic dermal.,Malignant dermal.,Benign epidermal.,Benign epidermal.,Fitzpatrick 17k,Fitzpatrick 17k_1449,Dermatology
OMNI_004043,Images/004043.jpg,What area of the human body is the focus of this image?,Bones,Lymphatic system,Skin,Internal organs,Skin,ISBI2016,ISBI2016_0166,Dermatology
OMNI_004045,Images/004045.png,What is the specific abnormality observed in the dermoscopy image?,Malignant Melanoma,Squamous Cell Carcinoma.,Basal Cell Carcinoma,Acne,Squamous Cell Carcinoma.,PAD-UFES-20,PAD-UFES-20_0445,Dermatology
OMNI_004046,Images/004046.jpg,Does the abnormality in this image show malignancy or benignancy?,Malignant,Benign image.,,,Benign image.,ISIC2020,ISIC2020_1427,Dermatology
