query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_002002,Images/002002.png,What is the medical condition identified in this image?,Viral_Pneumonia.,Pulmonary embolism,Sinusitis,Tuberculosis,Viral_Pneumonia.,Covid19 heywhale,Covid19 heywhale_0635,X-ray
OMNI_002003,Images/002003.png,From which joint does the bone in the image originate?,First Proximal Interphalangeal,Costovertebral Junction,Tibiofibular,Second Distal Interphalangeal,First Proximal Interphalangeal,RUS CHN,RUS CHN_1692,X-ray
OMNI_002004,Images/002004.png,What abnormality can be observed in this image?,Aberration missing,Abnormality present,Uniformity lacking,Standardity present,Abnormality present,Mura,Mura_1373,X-ray
OMNI_002006,Images/002006.png,From which joint does the depicted bone originate?,Costovertebral Junction,Ankle Bone,Metacarpophalangeal,Sternoclavicular Articulation,Metacarpophalangeal,RUS CHN,RUS CHN_0882,X-ray
OMNI_002007,Images/002007.jpg,What condition is indicated by this lung image?,Lung cancer,Chronic obstructive pulmonary disease (COPD),COVID-19,Bronchitis,COVID-19,Chest X-Ray PA,Chest X-Ray PA_0492,X-ray
OMNI_002008,Images/002008.png,What abnormality is present in this image?,COVID-19 negative,Lung cancer,Pleural effusion,Tuberculosis,COVID-19 negative,COVIDx CXR-4,COVIDx CXR-4_0209,X-ray
OMNI_002009,Images/002009.png,What imaging technique is employed to obtain this picture?,x_ray.,Magnetic Resonance Imaging (MRI),Thermographic imaging,Positron Emission Tomography (PET) scan,x_ray.,Knee Osteoarthritis,Knee Osteoarthritis_0361,X-ray
OMNI_002010,Images/002010.png,Is there any abnormality visible in this image?,No,Yes,,,No,Pulmonary Chest Shenzhen,Pulmonary Chest Shenzhen_0061,X-ray
OMNI_002013,Images/002013.jpeg,What content appears in this image?,Thymus,Lungs,Prostate (for males),Intestines,Lungs,CoronaHack,CoronaHack_0200,X-ray
OMNI_002014,Images/002014.png,What specific condition is affecting the lungs of the patient in this image?,Tuberculosis. Lungs will be affected.,Bronchitis. Lungs will be affected.,Asthma. Lungs will be affected.,COVID. Lungs will be affected.,COVID. Lungs will be affected.,Covid19 heywhale,Covid19 heywhale_0348,X-ray
OMNI_002015,Images/002015.png,From which joint does the bone in the image originate?,Cervical Spine,Glenohumeral,First Distal Interphalangeal,Sacroiliac,First Distal Interphalangeal,RUS CHN,RUS CHN_0653,X-ray
OMNI_002016,Images/002016.png,Which region of the body is depicted in this image?,Musculoskeletal system,Reproductive system,Digestive system,Respiratory system,Musculoskeletal system,Mura,Mura_0398,X-ray
OMNI_002017,Images/002017.jpeg,What is the content featured in this image?,Heart,Chest,Spine,Foot,Chest,OCT & X-Ray 2017,OCT & X-Ray 2017_0895,X-ray
OMNI_002019,Images/002019.png,From which joint does the bone in the image originate?,Pelvic Girdle,Elbow,Middle Interphalangeal,Knee,Middle Interphalangeal,RUS CHN,RUS CHN_1183,X-ray
OMNI_002020,Images/002020.png,What type of imaging was employed to produce this picture?,Ultrasound,Biopsy,Mammogram,X-ray,X-ray,Mura,Mura_0081,X-ray
