query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_007001,Images/007001.png,What part is shown in this ultrasound image?,Lung,gallbladder,Cerebellum,Small intestine,gallbladder,RadImageNet,RadImageNet_17172,Ultrasound
OMNI_007005,Images/007005.png,What type of imaging was utilized to obtain this picture?,Electronystagmography (ENG),Near-infrared Spectroscopy (NIRS),Ultrasound,Elastography,Ultrasound,RadImageNet,RadImageNet_14020,Ultrasound
OMNI_007007,Images/007007.png,What is the organ depicted in this ultrasound image?,Prostate gland,kidney,Large intestine,Spleen,kidney,RadImageNet,RadImageNet_18782,Ultrasound
OMNI_007008,Images/007008.png,What part is shown in this ultrasound image?,Intestine,liver,Lung,Gallbladder,liver,RadImageNet,RadImageNet_19600,Ultrasound
OMNI_007009,Images/007009.png,What part is shown in this ultrasound image?,Prostate,Joint,thyroid,Ovaries,thyroid,RadImageNet,RadImageNet_22327,Ultrasound
OMNI_007010,Images/007010.png,What part is shown in this ultrasound image?,Esophagus,Testis,Pancreas,gallbladder,gallbladder,RadImageNet,RadImageNet_17026,Ultrasound
OMNI_007011,Images/007011.png,What part is shown in this ultrasound image?,kidney,Ovary,Esophagus,Gallbladder,kidney,RadImageNet,RadImageNet_18822,Ultrasound
OMNI_007012,Images/007012.png,What part is shown in this ultrasound image?,pancreas,Spleen,Testicle,Stomach,pancreas,RadImageNet,RadImageNet_21349,Ultrasound
OMNI_007014,Images/007014.png,What part is shown in this ultrasound image?,Uterus,Femoral artery,Kidney,aorta,aorta,RadImageNet,RadImageNet_15454,Ultrasound
OMNI_007015,Images/007015.png,Which structure is being displayed in this ultrasound image?,Esophagus,ovary,Pancreas,Intestine,ovary,RadImageNet,RadImageNet_20207,Ultrasound
OMNI_007018,Images/007018.png,What structure is being depicted in this ultrasound image?,Iliac artery,Appendix,common bile duct,Urinary bladder,common bile duct,RadImageNet,RadImageNet_16061,Ultrasound
OMNI_007020,Images/007020.png,What is the structure depicted in this ultrasound image?,Ovarian cyst,Cervical lymphadenopathy,Pancreatic mass,thyroid nodule,thyroid nodule,RadImageNet,RadImageNet_23773,Ultrasound
OMNI_007021,Images/007021.png,What part is shown in this ultrasound image?,Testicles,Appendix,Intestines,thyroid,thyroid,RadImageNet,RadImageNet_23147,Ultrasound
OMNI_007022,Images/007022.png,What does this sonogram depict?,Bladder,Ovary,kidney,Gallbladder,kidney,RadImageNet,RadImageNet_17905,Ultrasound
OMNI_007023,Images/007023.png,What is the structure visible in this ultrasound image?,Liver hemangioma,Appendicitis,thyroid nodule,Hepatic hemangioma,thyroid nodule,RadImageNet,RadImageNet_23444,Ultrasound
OMNI_007024,Images/007024.png,What part is shown in this ultrasound image?,Liver,Prostate,kidney,Stomach,kidney,RadImageNet,RadImageNet_18445,Ultrasound
OMNI_007025,Images/007025.png,What is being depicted in this ultrasound image?,Hepatic tumor,Adrenal adenoma,Testicular mass,thyroid nodule,thyroid nodule,RadImageNet,RadImageNet_23959,Ultrasound
OMNI_007027,Images/007027.png,What part is shown in this ultrasound image?,Brain,kidney,Adrenal gland,Appendix,kidney,RadImageNet,RadImageNet_18420,Ultrasound
OMNI_007028,Images/007028.png,What is being depicted in this ultrasound image?,aorta,Cecum,Intestines,Cervix,aorta,RadImageNet,RadImageNet_14814,Ultrasound
OMNI_007032,Images/007032.png,What is the structure identified in this ultrasound image?,Right atrium,Ureter,Renal Artery,portal vein,portal vein,RadImageNet,RadImageNet_21720,Ultrasound
OMNI_007033,Images/007033.png,What part is shown in this ultrasound image?,Stomach,Lung,Uterus,kidney,kidney,RadImageNet,RadImageNet_17953,Ultrasound
