query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_003003,Images/003003.jpeg,What is the specific abnormality present in this image?,Optic neuritis,Conjunctivitis,Proliferative diabetic retinopathy.,Macular degeneration,Proliferative diabetic retinopathy.,Diabetic Retinopathy,Diabetic Retinopathy_1944,Fundus
OMNI_003006,Images/003006.tif,What imaging modality was used to capture this image?,The imaging modality used for this image is fundus photography.,The imaging modality used for this image is nuclear medicine scan.,The imaging modality used for this image is MRI.,The imaging modality used for this image is ultrasound.,The imaging modality used for this image is fundus photography.,OLIVES,OLIVES_0018,Fundus
OMNI_003007,Images/003007.jpg,What modality was used to capture this image?,Endoscopy.,Ultrasound.,Electrocardiogram (ECG).,fundus photography.,fundus photography.,DeepDRiD,DeepDRiD_0128,Fundus
OMNI_003008,Images/003008.png,Is the eye axis in this image aligned horizontally or vertically?,Crooked eye axis.,Vertical eye axis.,Slanted eye axis.,Wavy eye axis.,Vertical eye axis.,Yangxi,Yangxi_1443,Fundus
OMNI_003009,Images/003009.jpeg,What is the specific abnormality present in this image?,Moderate vitreous hemorrhage.,Mild uveitis.,Severe diabetic retinopathy.,Moderate cataracts.,Severe diabetic retinopathy.,Diabetic Retinopathy,Diabetic Retinopathy_1900,Fundus
OMNI_003010,Images/003010.tif,What imaging modality was used to capture this image?,The imaging modality used for this image is PET scan.,The imaging modality used for this image is ultrasound.,The imaging modality used for this image is fundus photography.,The imaging modality used for this image is X-ray.,The imaging modality used for this image is fundus photography.,OLIVES,OLIVES_0076,Fundus
OMNI_003011,Images/003011.png,Determine whether the eye axis in this image is horizontal or vertical?,Diagonal eye axis,Angled eye axis,Oblique eye axis,Transverse eye axis,Transverse eye axis,Yangxi,Yangxi_0770,Fundus
OMNI_003012,Images/003012.jpg,Which imaging technique was utilized to obtain this picture?,Endoscopy.,Electrocardiogram (ECG).,fundus photography.,MRI.,fundus photography.,DeepDRiD,DeepDRiD_0123,Fundus
OMNI_003014,Images/003014.jpeg,Which diagnostic technique produced this picture?,Retinal fundus imaging.,Positron emission tomography (PET) scan,Fluoroscopy,Mammography,Retinal fundus imaging.,Diabetic Retinopathy,Diabetic Retinopathy_0041,Fundus
OMNI_003015,Images/003015.jpeg,What is the specific abnormality present in this image?,Age-related macular degeneration,Congenital cataracts,No diabetic retinopathy.,Uveitis,No diabetic retinopathy.,Diabetic Retinopathy,Diabetic Retinopathy_0944,Fundus
OMNI_003016,Images/003016.png,Is the eye axis in this image horizontally aligned or vertically aligned?,Tilted eye axis.,Crooked eye axis.,Vertical eye axis.,Inverted eye axis.,Vertical eye axis.,Yangxi,Yangxi_1279,Fundus
OMNI_003018,Images/003018.png,Is the eye axis in this image in a horizontal or vertical orientation?,Wavy eye axis.,Vertical eye axis.,Inverted eye axis.,Zigzag eye axis.,Vertical eye axis.,Yangxi,Yangxi_1363,Fundus
OMNI_003020,Images/003020.png,"Is the eye axis in this image transverse, indicating a horizontal or vertical orientation?",Angled eye axis,Curved eye axis,Transverse eye axis,Bent eye axis,Transverse eye axis,Yangxi,Yangxi_0468,Fundus
OMNI_003021,Images/003021.jpg,Is there any evident abnormality present in these images?,The anomalies in this image indicate the presence of glaucoma.,"In this image, there are no apparent abnormalities. It represents a normal or fundus of high myopia.",There is a clear indication of a retinal anomaly in this image.,This image shows a severe abnormality in the fundus.,"In this image, there are no apparent abnormalities. It represents a normal or fundus of high myopia.",PALM2019,PALM2019_0310,Fundus
OMNI_003027,Images/003027.tif,Are we referring to the oculus dexter or oculus sinister?,right eye,left eye,,,left eye,OLIVES,OLIVES_0473,Fundus
OMNI_003028,Images/003028.jpeg,What is the specific abnormality present in this image?,Optic neuritis,No diabetic retinopathy.,Congenital cataracts,Conjunctivitis,No diabetic retinopathy.,Diabetic Retinopathy,Diabetic Retinopathy_0734,Fundus
OMNI_003029,Images/003029.jpeg,What is the specific abnormality present in this image?,Corneal ulcer,Retinal detachment,Optic neuritis,No diabetic retinopathy.,No diabetic retinopathy.,Diabetic Retinopathy,Diabetic Retinopathy_0928,Fundus
OMNI_003031,Images/003031.png,What was the imaging modality utilized to capture this picture?,Electrocardiography (ECG),Color fundus photography,Angiography,Magnetic Resonance Imaging (MRI),Color fundus photography,Yangxi,Yangxi_0247,Fundus
OMNI_003033,Images/003033.jpeg,What is the specific abnormality present in this image?,Keratoconus,Glaucoma,No diabetic retinopathy.,Congenital cataracts,No diabetic retinopathy.,Diabetic Retinopathy,Diabetic Retinopathy_0771,Fundus
OMNI_003036,Images/003036.jpeg,Which diagnostic tool produced this picture?,X-ray imaging,Angiography,Retinal fundus imaging.,Electrocardiogram (ECG) imaging,Retinal fundus imaging.,Diabetic Retinopathy,Diabetic Retinopathy_0008,Fundus
OMNI_003037,Images/003037.tif,"Which eye is the correct one, the right eye or the left eye?",right eye,left eye,,,right eye,OLIVES,OLIVES_0367,Fundus
OMNI_003039,Images/003039.jpeg,What imaging modality was used to capture this image?,Angiography,Retinal fundus imaging.,Positron emission tomography (PET) scan,Computed tomography (CT) scan,Retinal fundus imaging.,Diabetic Retinopathy,Diabetic Retinopathy_0151,Fundus
